strike,ce_oi,ce_coi_day,pe_oi,pe_coi_day,timestamp,spot_price
25800,9418,-3893,5,-2,2026-09-22 08:00:41,23414.3
25850,607,43,0,0,2026-09-22 08:00:41,23414.3
25900,1566,-560,0,0,2026-09-22 08:00:41,23414.3
25950,615,194,0,0,2026-09-22 08:00:41,23414.3
26000,11030,-11253,451,-606,2026-09-22 08:00:41,23414.3
26050,1220,-132,0,0,2026-09-22 08:00:41,23414.3
26100,7313,-1921,0,0,2026-09-22 08:00:41,23414.3
21350,0,0,71738,-25680,2026-09-22 08:00:56,23414.3
21400,0,0,44652,-12333,2026-09-22 08:00:56,23414.3
21450,0,0,10825,1196,2026-09-22 08:00:56,23414.3
21500,0,0,49411,-21658,2026-09-22 08:00:56,23414.3
21550,0,0,5193,1399,2026-09-22 08:00:56,23414.3
21600,0,0,6820,-835,2026-09-22 08:00:56,23414.3
21650,0,0,9718,-4694,2026-09-22 08:00:56,23414.3
21700,24,0,26734,-17473,2026-09-22 08:00:56,23414.3
21750,0,0,5467,-411,2026-09-22 08:00:56,23414.3
21800,1,0,34162,-13356,2026-09-22 08:00:56,23414.3
21850,0,0,7350,601,2026-09-22 08:00:56,23414.3
21900,0,0,23587,-5974,2026-09-22 08:00:56,23414.3
21950,0,0,8004,98,2026-09-22 08:00:56,23414.3
22000,298,-48,152809,-12445,2026-09-22 08:00:56,23414.3
22050,5,0,5979,-5066,2026-09-22 08:00:56,23414.3
22100,18,0,29981,-6454,2026-09-22 08:00:56,23414.3
22150,4,0,14601,-3078,2026-09-22 08:00:56,23414.3
22200,40,-1,68722,-8308,2026-09-22 08:00:56,23414.3
22250,8,0,19892,4128,2026-09-22 08:00:56,23414.3
22300,114,-15,66407,-12789,2026-09-22 08:00:56,23414.3
22350,11,0,28233,2921,2026-09-22 08:00:56,23414.3
22400,38,0,76074,10806,2026-09-22 08:00:56,23414.3
22450,7,0,42632,12636,2026-09-22 08:00:56,23414.3
22500,899,-394,191934,53126,2026-09-22 08:00:56,23414.3
22550,42,0,30314,2501,2026-09-22 08:00:56,23414.3
22600,575,-52,88578,7879,2026-09-22 08:00:56,23414.3
22650,262,1,34743,7892,2026-09-22 08:00:56,23414.3
22700,820,12,112418,15388,2026-09-22 08:00:56,23414.3
22750,506,-23,41224,-21923,2026-09-22 08:00:56,23414.3
22800,1278,-557,137166,26270,2026-09-22 08:00:56,23414.3
22850,741,-73,40773,-7998,2026-09-22 08:00:56,23414.3
22900,1928,-173,133484,56979,2026-09-22 08:00:56,23414.3
22950,1314,-32,67465,10659,2026-09-22 08:00:56,23414.3
23000,6470,-3096,189739,20598,2026-09-22 08:00:56,23414.3
23050,2291,-79,73191,29028,2026-09-22 08:00:56,23414.3
23100,7428,-1717,144841,45920,2026-09-22 08:00:56,23414.3
23150,3858,-1521,95207,35155,2026-09-22 08:00:56,23414.3
23200,31633,-9375,172908,25187,2026-09-22 08:00:56,23414.3
23250,19263,-8610,121877,22020,2026-09-22 08:00:56,23414.3
23300,59836,-54313,243496,48318,2026-09-22 08:00:56,23414.3
23350,39503,-36737,155256,76132,2026-09-22 08:00:56,23414.3
23400,132358,-2538,247382,173731,2026-09-22 08:00:56,23414.3
23450,98924,39541,97810,87093,2026-09-22 08:00:56,23414.3
23500,178853,36912,77732,40728,2026-09-22 08:00:56,23414.3
23550,95921,39685,13183,9144,2026-09-22 08:00:56,23414.3
23600,164756,43079,18565,7184,2026-09-22 08:00:56,23414.3
23650,119469,57289,3682,658,2026-09-22 08:00:56,23414.3
23700,145155,-933,8964,706,2026-09-22 08:00:56,23414.3
23750,80044,13833,1318,-246,2026-09-22 08:00:56,23414.3
23800,126555,180,5378,-1680,2026-09-22 08:00:56,23414.3
23850,55095,9300,1022,-96,2026-09-22 08:00:56,23414.3
23900,98069,8157,3535,-3186,2026-09-22 08:00:56,23414.3
23950,22057,-14376,1014,-140,2026-09-22 08:00:56,23414.3
24000,140005,-37819,11350,-2827,2026-09-22 08:00:56,23414.3
24050,29826,2111,333,-37,2026-09-22 08:00:56,23414.3
24100,66847,-12596,1545,-579,2026-09-22 08:00:56,23414.3
24150,19767,-17667,304,-67,2026-09-22 08:00:56,23414.3
24200,101906,4081,1412,-1154,2026-09-22 08:00:56,23414.3
24250,26254,6244,334,-45,2026-09-22 08:00:56,23414.3
24300,52584,-10416,758,-692,2026-09-22 08:00:56,23414.3
24350,17020,-1443,159,-66,2026-09-22 08:00:56,23414.3
24400,37119,-6935,806,-936,2026-09-22 08:00:56,23414.3
24450,9291,-436,127,-63,2026-09-22 08:00:56,23414.3
24500,109713,-44907,1786,-2444,2026-09-22 08:00:56,23414.3
24550,13597,-404,161,-206,2026-09-22 08:00:56,23414.3
24600,23581,-12111,405,-305,2026-09-22 08:00:56,23414.3
24650,3362,-3037,29,-49,2026-09-22 08:00:56,23414.3
24700,13752,-21246,66,-23,2026-09-22 08:00:56,23414.3
24750,2384,-537,0,0,2026-09-22 08:00:56,23414.3
24800,33389,-8909,100,-255,2026-09-22 08:00:56,23414.3
24850,4300,-3603,0,0,2026-09-22 08:00:56,23414.3
24900,7300,-9929,143,-3,2026-09-22 08:00:56,23414.3
24950,2070,-1002,0,0,2026-09-22 08:00:56,23414.3
25000,36357,-32030,535,-477,2026-09-22 08:00:56,23414.3
25050,1445,-1278,1,0,2026-09-22 08:00:56,23414.3
25100,4523,-8963,12,-4,2026-09-22 08:00:56,23414.3
25150,2111,-832,5,0,2026-09-22 08:00:56,23414.3
25200,3925,-1482,35,-25,2026-09-22 08:00:56,23414.3
25250,1673,-812,8,0,2026-09-22 08:00:56,23414.3
25300,2553,-152,8,-1,2026-09-22 08:00:56,23414.3
25350,445,153,0,0,2026-09-22 08:00:56,23414.3
25400,1705,-864,27,-4,2026-09-22 08:00:56,23414.3
25450,333,0,8,0,2026-09-22 08:00:56,23414.3
25500,8620,-5417,372,-498,2026-09-22 08:00:56,23414.3
25550,428,28,2,1,2026-09-22 08:00:56,23414.3
25600,1303,-608,3,0,2026-09-22 08:00:56,23414.3
25650,414,-11,8,0,2026-09-22 08:00:56,23414.3
25700,2049,-606,0,0,2026-09-22 08:00:56,23414.3
25750,619,-126,0,0,2026-09-22 08:00:56,23414.3
25800,9418,-3893,5,-2,2026-09-22 08:00:56,23414.3
25850,607,43,0,0,2026-09-22 08:00:56,23414.3
25900,1566,-560,0,0,2026-09-22 08:00:56,23414.3
25950,615,194,0,0,2026-09-22 08:00:56,23414.3
26000,11030,-11253,451,-606,2026-09-22 08:00:56,23414.3
26050,1220,-132,0,0,2026-09-22 08:00:56,23414.3
26100,7313,-1921,0,0,2026-09-22 08:00:56,23414.3
21350,0,0,71738,-25680,2026-09-22 08:03:45,23414.3
21400,0,0,44652,-12333,2026-09-22 08:03:45,23414.3
21450,0,0,10825,1196,2026-09-22 08:03:45,23414.3
21500,0,0,49411,-21658,2026-09-22 08:03:45,23414.3
21550,0,0,5193,1399,2026-09-22 08:03:45,23414.3
21600,0,0,6820,-835,2026-09-22 08:03:45,23414.3
21650,0,0,9718,-4694,2026-09-22 08:03:45,23414.3
21700,24,0,26734,-17473,2026-09-22 08:03:45,23414.3
21750,0,0,5467,-411,2026-09-22 08:03:45,23414.3
21800,1,0,34162,-13356,2026-09-22 08:03:45,23414.3
21850,0,0,7350,601,2026-09-22 08:03:45,23414.3
21900,0,0,23587,-5974,2026-09-22 08:03:45,23414.3
21950,0,0,8004,98,2026-09-22 08:03:45,23414.3
22000,298,-48,152809,-12445,2026-09-22 08:03:45,23414.3
22050,5,0,5979,-5066,2026-09-22 08:03:45,23414.3
22100,18,0,29981,-6454,2026-09-22 08:03:45,23414.3
22150,4,0,14601,-3078,2026-09-22 08:03:45,23414.3
22200,40,-1,68722,-8308,2026-09-22 08:03:45,23414.3
22250,8,0,19892,4128,2026-09-22 08:03:45,23414.3
22300,114,-15,66407,-12789,2026-09-22 08:03:45,23414.3
22350,11,0,28233,2921,2026-09-22 08:03:45,23414.3
22400,38,0,76074,10806,2026-09-22 08:03:45,23414.3
22450,7,0,42632,12636,2026-09-22 08:03:45,23414.3
22500,899,-394,191934,53126,2026-09-22 08:03:45,23414.3
22550,42,0,30314,2501,2026-09-22 08:03:45,23414.3
22600,575,-52,88578,7879,2026-09-22 08:03:45,23414.3
22650,262,1,34743,7892,2026-09-22 08:03:45,23414.3
22700,820,12,112418,15388,2026-09-22 08:03:45,23414.3
22750,506,-23,41224,-21923,2026-09-22 08:03:45,23414.3
22800,1278,-557,137166,26270,2026-09-22 08:03:45,23414.3
22850,741,-73,40773,-7998,2026-09-22 08:03:45,23414.3
22900,1928,-173,133484,56979,2026-09-22 08:03:45,23414.3
22950,1314,-32,67465,10659,2026-09-22 08:03:45,23414.3
23000,6470,-3096,189739,20598,2026-09-22 08:03:45,23414.3
23050,2291,-79,73191,29028,2026-09-22 08:03:45,23414.3
23100,7428,-1717,144841,45920,2026-09-22 08:03:45,23414.3
23150,3858,-1521,95207,35155,2026-09-22 08:03:45,23414.3
23200,31633,-9375,172908,25187,2026-09-22 08:03:45,23414.3
23250,19263,-8610,121877,22020,2026-09-22 08:03:45,23414.3
23300,59836,-54313,243496,48318,2026-09-22 08:03:45,23414.3
23350,39503,-36737,155256,76132,2026-09-22 08:03:45,23414.3
23400,132358,-2538,247382,173731,2026-09-22 08:03:45,23414.3
23450,98924,39541,97810,87093,2026-09-22 08:03:45,23414.3
23500,178853,36912,77732,40728,2026-09-22 08:03:45,23414.3
23550,95921,39685,13183,9144,2026-09-22 08:03:45,23414.3
23600,164756,43079,18565,7184,2026-09-22 08:03:45,23414.3
23650,119469,57289,3682,658,2026-09-22 08:03:45,23414.3
23700,145155,-933,8964,706,2026-09-22 08:03:45,23414.3
23750,80044,13833,1318,-246,2026-09-22 08:03:45,23414.3
23800,126555,180,5378,-1680,2026-09-22 08:03:45,23414.3
23850,55095,9300,1022,-96,2026-09-22 08:03:45,23414.3
23900,98069,8157,3535,-3186,2026-09-22 08:03:45,23414.3
23950,22057,-14376,1014,-140,2026-09-22 08:03:45,23414.3
24000,140005,-37819,11350,-2827,2026-09-22 08:03:45,23414.3
24050,29826,2111,333,-37,2026-09-22 08:03:45,23414.3
24100,66847,-12596,1545,-579,2026-09-22 08:03:45,23414.3
24150,19767,-17667,304,-67,2026-09-22 08:03:45,23414.3
24200,101906,4081,1412,-1154,2026-09-22 08:03:45,23414.3
24250,26254,6244,334,-45,2026-09-22 08:03:45,23414.3
24300,52584,-10416,758,-692,2026-09-22 08:03:45,23414.3
24350,17020,-1443,159,-66,2026-09-22 08:03:45,23414.3
24400,37119,-6935,806,-936,2026-09-22 08:03:45,23414.3
24450,9291,-436,127,-63,2026-09-22 08:03:45,23414.3
24500,109713,-44907,1786,-2444,2026-09-22 08:03:45,23414.3
24550,13597,-404,161,-206,2026-09-22 08:03:45,23414.3
24600,23581,-12111,405,-305,2026-09-22 08:03:45,23414.3
24650,3362,-3037,29,-49,2026-09-22 08:03:45,23414.3
24700,13752,-21246,66,-23,2026-09-22 08:03:45,23414.3
24750,2384,-537,0,0,2026-09-22 08:03:45,23414.3
24800,33389,-8909,100,-255,2026-09-22 08:03:45,23414.3
24850,4300,-3603,0,0,2026-09-22 08:03:45,23414.3
24900,7300,-9929,143,-3,2026-09-22 08:03:45,23414.3
24950,2070,-1002,0,0,2026-09-22 08:03:45,23414.3
25000,36357,-32030,535,-477,2026-09-22 08:03:45,23414.3
25050,1445,-1278,1,0,2026-09-22 08:03:45,23414.3
25100,4523,-8963,12,-4,2026-09-22 08:03:45,23414.3
25150,2111,-832,5,0,2026-09-22 08:03:45,23414.3
25200,3925,-1482,35,-25,2026-09-22 08:03:45,23414.3
25250,1673,-812,8,0,2026-09-22 08:03:45,23414.3
25300,2553,-152,8,-1,2026-09-22 08:03:45,23414.3
25350,445,153,0,0,2026-09-22 08:03:45,23414.3
25400,1705,-864,27,-4,2026-09-22 08:03:45,23414.3
25450,333,0,8,0,2026-09-22 08:03:45,23414.3
25500,8620,-5417,372,-498,2026-09-22 08:03:45,23414.3
25550,428,28,2,1,2026-09-22 08:03:45,23414.3
25600,1303,-608,3,0,2026-09-22 08:03:45,23414.3
25650,414,-11,8,0,2026-09-22 08:03:45,23414.3
25700,2049,-606,0,0,2026-09-22 08:03:45,23414.3
25750,619,-126,0,0,2026-09-22 08:03:45,23414.3
25800,9418,-3893,5,-2,2026-09-22 08:03:45,23414.3
25850,607,43,0,0,2026-09-22 08:03:45,23414.3
25900,1566,-560,0,0,2026-09-22 08:03:45,23414.3
25950,615,194,0,0,2026-09-22 08:03:45,23414.3
26000,11030,-11253,451,-606,2026-09-22 08:03:45,23414.3
26050,1220,-132,0,0,2026-09-22 08:03:45,23414.3
26100,7313,-1921,0,0,2026-09-22 08:03:45,23414.3
21350,0,0,71738,-25680,2026-09-22 08:04:00,23414.3
21400,0,0,44652,-12333,2026-09-22 08:04:00,23414.3
21450,0,0,10825,1196,2026-09-22 08:04:00,23414.3
21500,0,0,49411,-21658,2026-09-22 08:04:00,23414.3
21550,0,0,5193,1399,2026-09-22 08:04:00,23414.3
21600,0,0,6820,-835,2026-09-22 08:04:00,23414.3
21650,0,0,9718,-4694,2026-09-22 08:04:00,23414.3
21700,24,0,26734,-17473,2026-09-22 08:04:00,23414.3
21750,0,0,5467,-411,2026-09-22 08:04:00,23414.3
21800,1,0,34162,-13356,2026-09-22 08:04:00,23414.3
21850,0,0,7350,601,2026-09-22 08:04:00,23414.3
21900,0,0,23587,-5974,2026-09-22 08:04:00,23414.3
21950,0,0,8004,98,2026-09-22 08:04:00,23414.3
22000,298,-48,152809,-12445,2026-09-22 08:04:00,23414.3
22050,5,0,5979,-5066,2026-09-22 08:04:00,23414.3
22100,18,0,29981,-6454,2026-09-22 08:04:00,23414.3
22150,4,0,14601,-3078,2026-09-22 08:04:00,23414.3
22200,40,-1,68722,-8308,2026-09-22 08:04:00,23414.3
22250,8,0,19892,4128,2026-09-22 08:04:00,23414.3
22300,114,-15,66407,-12789,2026-09-22 08:04:00,23414.3
22350,11,0,28233,2921,2026-09-22 08:04:00,23414.3
22400,38,0,76074,10806,2026-09-22 08:04:00,23414.3
22450,7,0,42632,12636,2026-09-22 08:04:00,23414.3
22500,899,-394,191934,53126,2026-09-22 08:04:00,23414.3
22550,42,0,30314,2501,2026-09-22 08:04:00,23414.3
22600,575,-52,88578,7879,2026-09-22 08:04:00,23414.3
22650,262,1,34743,7892,2026-09-22 08:04:00,23414.3
22700,820,12,112418,15388,2026-09-22 08:04:00,23414.3
22750,506,-23,41224,-21923,2026-09-22 08:04:00,23414.3
22800,1278,-557,137166,26270,2026-09-22 08:04:00,23414.3
22850,741,-73,40773,-7998,2026-09-22 08:04:00,23414.3
22900,1928,-173,133484,56979,2026-09-22 08:04:00,23414.3
22950,1314,-32,67465,10659,2026-09-22 08:04:00,23414.3
23000,6470,-3096,189739,20598,2026-09-22 08:04:00,23414.3
23050,2291,-79,73191,29028,2026-09-22 08:04:00,23414.3
23100,7428,-1717,144841,45920,2026-09-22 08:04:00,23414.3
23150,3858,-1521,95207,35155,2026-09-22 08:04:00,23414.3
23200,31633,-9375,172908,25187,2026-09-22 08:04:00,23414.3
23250,19263,-8610,121877,22020,2026-09-22 08:04:00,23414.3
23300,59836,-54313,243496,48318,2026-09-22 08:04:00,23414.3
23350,39503,-36737,155256,76132,2026-09-22 08:04:00,23414.3
23400,132358,-2538,247382,173731,2026-09-22 08:04:00,23414.3
23450,98924,39541,97810,87093,2026-09-22 08:04:00,23414.3
23500,178853,36912,77732,40728,2026-09-22 08:04:00,23414.3
23550,95921,39685,13183,9144,2026-09-22 08:04:00,23414.3
23600,164756,43079,18565,7184,2026-09-22 08:04:00,23414.3
23650,119469,57289,3682,658,2026-09-22 08:04:00,23414.3
23700,145155,-933,8964,706,2026-09-22 08:04:00,23414.3
23750,80044,13833,1318,-246,2026-09-22 08:04:00,23414.3
23800,126555,180,5378,-1680,2026-09-22 08:04:00,23414.3
23850,55095,9300,1022,-96,2026-09-22 08:04:00,23414.3
23900,98069,8157,3535,-3186,2026-09-22 08:04:00,23414.3
23950,22057,-14376,1014,-140,2026-09-22 08:04:00,23414.3
24000,140005,-37819,11350,-2827,2026-09-22 08:04:00,23414.3
24050,29826,2111,333,-37,2026-09-22 08:04:00,23414.3
24100,66847,-12596,1545,-579,2026-09-22 08:04:00,23414.3
24150,19767,-17667,304,-67,2026-09-22 08:04:00,23414.3
24200,101906,4081,1412,-1154,2026-09-22 08:04:00,23414.3
24250,26254,6244,334,-45,2026-09-22 08:04:00,23414.3
24300,52584,-10416,758,-692,2026-09-22 08:04:00,23414.3
24350,17020,-1443,159,-66,2026-09-22 08:04:00,23414.3
24400,37119,-6935,806,-936,2026-09-22 08:04:00,23414.3
24450,9291,-436,127,-63,2026-09-22 08:04:00,23414.3
24500,109713,-44907,1786,-2444,2026-09-22 08:04:00,23414.3
24550,13597,-404,161,-206,2026-09-22 08:04:00,23414.3
24600,23581,-12111,405,-305,2026-09-22 08:04:00,23414.3
24650,3362,-3037,29,-49,2026-09-22 08:04:00,23414.3
24700,13752,-21246,66,-23,2026-09-22 08:04:00,23414.3
24750,2384,-537,0,0,2026-09-22 08:04:00,23414.3
24800,33389,-8909,100,-255,2026-09-22 08:04:00,23414.3
24850,4300,-3603,0,0,2026-09-22 08:04:00,23414.3
24900,7300,-9929,143,-3,2026-09-22 08:04:00,23414.3
24950,2070,-1002,0,0,2026-09-22 08:04:00,23414.3
25000,36357,-32030,535,-477,2026-09-22 08:04:00,23414.3
25050,1445,-1278,1,0,2026-09-22 08:04:00,23414.3
25100,4523,-8963,12,-4,2026-09-22 08:04:00,23414.3
25150,2111,-832,5,0,2026-09-22 08:04:00,23414.3
25200,3925,-1482,35,-25,2026-09-22 08:04:00,23414.3
25250,1673,-812,8,0,2026-09-22 08:04:00,23414.3
25300,2553,-152,8,-1,2026-09-22 08:04:00,23414.3
25350,445,153,0,0,2026-09-22 08:04:00,23414.3
25400,1705,-864,27,-4,2026-09-22 08:04:00,23414.3
25450,333,0,8,0,2026-09-22 08:04:00,23414.3
25500,8620,-5417,372,-498,2026-09-22 08:04:00,23414.3
25550,428,28,2,1,2026-09-22 08:04:00,23414.3
25600,1303,-608,3,0,2026-09-22 08:04:00,23414.3
25650,414,-11,8,0,2026-09-22 08:04:00,23414.3
25700,2049,-606,0,0,2026-09-22 08:04:00,23414.3
25750,619,-126,0,0,2026-09-22 08:04:00,23414.3
25800,9418,-3893,5,-2,2026-09-22 08:04:00,23414.3
25850,607,43,0,0,2026-09-22 08:04:00,23414.3
25900,1566,-560,0,0,2026-09-22 08:04:00,23414.3
25950,615,194,0,0,2026-09-22 08:04:00,23414.3
26000,11030,-11253,451,-606,2026-09-22 08:04:00,23414.3
26050,1220,-132,0,0,2026-09-22 08:04:00,23414.3
26100,7313,-1921,0,0,2026-09-22 08:04:00,23414.3
21350,0,0,71738,-25680,2026-09-22 08:06:49,23414.3
21400,0,0,44652,-12333,2026-09-22 08:06:49,23414.3
21450,0,0,10825,1196,2026-09-22 08:06:49,23414.3
21500,0,0,49411,-21658,2026-09-22 08:06:49,23414.3
21550,0,0,5193,1399,2026-09-22 08:06:49,23414.3
21600,0,0,6820,-835,2026-09-22 08:06:49,23414.3
21650,0,0,9718,-4694,2026-09-22 08:06:49,23414.3
21700,24,0,26734,-17473,2026-09-22 08:06:49,23414.3
21750,0,0,5467,-411,2026-09-22 08:06:49,23414.3
21800,1,0,34162,-13356,2026-09-22 08:06:49,23414.3
21850,0,0,7350,601,2026-09-22 08:06:49,23414.3
21900,0,0,23587,-5974,2026-09-22 08:06:49,23414.3
21950,0,0,8004,98,2026-09-22 08:06:49,23414.3
22000,298,-48,152809,-12445,2026-09-22 08:06:49,23414.3
22050,5,0,5979,-5066,2026-09-22 08:06:49,23414.3
22100,18,0,29981,-6454,2026-09-22 08:06:49,23414.3
22150,4,0,14601,-3078,2026-09-22 08:06:49,23414.3
22200,40,-1,68722,-8308,2026-09-22 08:06:49,23414.3
22250,8,0,19892,4128,2026-09-22 08:06:49,23414.3
22300,114,-15,66407,-12789,2026-09-22 08:06:49,23414.3
22350,11,0,28233,2921,2026-09-22 08:06:49,23414.3
22400,38,0,76074,10806,2026-09-22 08:06:49,23414.3
22450,7,0,42632,12636,2026-09-22 08:06:49,23414.3
22500,899,-394,191934,53126,2026-09-22 08:06:49,23414.3
22550,42,0,30314,2501,2026-09-22 08:06:49,23414.3
22600,575,-52,88578,7879,2026-09-22 08:06:49,23414.3
22650,262,1,34743,7892,2026-09-22 08:06:49,23414.3
22700,820,12,112418,15388,2026-09-22 08:06:49,23414.3
22750,506,-23,41224,-21923,2026-09-22 08:06:49,23414.3
22800,1278,-557,137166,26270,2026-09-22 08:06:49,23414.3
22850,741,-73,40773,-7998,2026-09-22 08:06:49,23414.3
22900,1928,-173,133484,56979,2026-09-22 08:06:49,23414.3
22950,1314,-32,67465,10659,2026-09-22 08:06:49,23414.3
23000,6470,-3096,189739,20598,2026-09-22 08:06:49,23414.3
23050,2291,-79,73191,29028,2026-09-22 08:06:49,23414.3
23100,7428,-1717,144841,45920,2026-09-22 08:06:49,23414.3
23150,3858,-1521,95207,35155,2026-09-22 08:06:49,23414.3
23200,31633,-9375,172908,25187,2026-09-22 08:06:49,23414.3
23250,19263,-8610,121877,22020,2026-09-22 08:06:49,23414.3
23300,59836,-54313,243496,48318,2026-09-22 08:06:49,23414.3
23350,39503,-36737,155256,76132,2026-09-22 08:06:49,23414.3
23400,132358,-2538,247382,173731,2026-09-22 08:06:49,23414.3
23450,98924,39541,97810,87093,2026-09-22 08:06:49,23414.3
23500,178853,36912,77732,40728,2026-09-22 08:06:49,23414.3
23550,95921,39685,13183,9144,2026-09-22 08:06:49,23414.3
23600,164756,43079,18565,7184,2026-09-22 08:06:49,23414.3
23650,119469,57289,3682,658,2026-09-22 08:06:49,23414.3
23700,145155,-933,8964,706,2026-09-22 08:06:49,23414.3
23750,80044,13833,1318,-246,2026-09-22 08:06:49,23414.3
23800,126555,180,5378,-1680,2026-09-22 08:06:49,23414.3
23850,55095,9300,1022,-96,2026-09-22 08:06:49,23414.3
23900,98069,8157,3535,-3186,2026-09-22 08:06:49,23414.3
23950,22057,-14376,1014,-140,2026-09-22 08:06:49,23414.3
24000,140005,-37819,11350,-2827,2026-09-22 08:06:49,23414.3
24050,29826,2111,333,-37,2026-09-22 08:06:49,23414.3
24100,66847,-12596,1545,-579,2026-09-22 08:06:49,23414.3
24150,19767,-17667,304,-67,2026-09-22 08:06:49,23414.3
24200,101906,4081,1412,-1154,2026-09-22 08:06:49,23414.3
24250,26254,6244,334,-45,2026-09-22 08:06:49,23414.3
24300,52584,-10416,758,-692,2026-09-22 08:06:49,23414.3
24350,17020,-1443,159,-66,2026-09-22 08:06:49,23414.3
24400,37119,-6935,806,-936,2026-09-22 08:06:49,23414.3
24450,9291,-436,127,-63,2026-09-22 08:06:49,23414.3
24500,109713,-44907,1786,-2444,2026-09-22 08:06:49,23414.3
24550,13597,-404,161,-206,2026-09-22 08:06:49,23414.3
24600,23581,-12111,405,-305,2026-09-22 08:06:49,23414.3
24650,3362,-3037,29,-49,2026-09-22 08:06:49,23414.3
24700,13752,-21246,66,-23,2026-09-22 08:06:49,23414.3
24750,2384,-537,0,0,2026-09-22 08:06:49,23414.3
24800,33389,-8909,100,-255,2026-09-22 08:06:49,23414.3
24850,4300,-3603,0,0,2026-09-22 08:06:49,23414.3
24900,7300,-9929,143,-3,2026-09-22 08:06:49,23414.3
24950,2070,-1002,0,0,2026-09-22 08:06:49,23414.3
25000,36357,-32030,535,-477,2026-09-22 08:06:49,23414.3
25050,1445,-1278,1,0,2026-09-22 08:06:49,23414.3
25100,4523,-8963,12,-4,2026-09-22 08:06:49,23414.3
25150,2111,-832,5,0,2026-09-22 08:06:49,23414.3
25200,3925,-1482,35,-25,2026-09-22 08:06:49,23414.3
25250,1673,-812,8,0,2026-09-22 08:06:49,23414.3
25300,2553,-152,8,-1,2026-09-22 08:06:49,23414.3
25350,445,153,0,0,2026-09-22 08:06:49,23414.3
25400,1705,-864,27,-4,2026-09-22 08:06:49,23414.3
25450,333,0,8,0,2026-09-22 08:06:49,23414.3
25500,8620,-5417,372,-498,2026-09-22 08:06:49,23414.3
25550,428,28,2,1,2026-09-22 08:06:49,23414.3
25600,1303,-608,3,0,2026-09-22 08:06:49,23414.3
25650,414,-11,8,0,2026-09-22 08:06:49,23414.3
25700,2049,-606,0,0,2026-09-22 08:06:49,23414.3
25750,619,-126,0,0,2026-09-22 08:06:49,23414.3
25800,9418,-3893,5,-2,2026-09-22 08:06:49,23414.3
25850,607,43,0,0,2026-09-22 08:06:49,23414.3
25900,1566,-560,0,0,2026-09-22 08:06:49,23414.3
25950,615,194,0,0,2026-09-22 08:06:49,23414.3
26000,11030,-11253,451,-606,2026-09-22 08:06:49,23414.3
26050,1220,-132,0,0,2026-09-22 08:06:49,23414.3
26100,7313,-1921,0,0,2026-09-22 08:06:49,23414.3
21350,0,0,71738,-25680,2026-09-22 08:07:19,23414.3
21400,0,0,44652,-12333,2026-09-22 08:07:19,23414.3
21450,0,0,10825,1196,2026-09-22 08:07:19,23414.3
21500,0,0,49411,-21658,2026-09-22 08:07:19,23414.3
21550,0,0,5193,1399,2026-09-22 08:07:19,23414.3
21600,0,0,6820,-835,2026-09-22 08:07:19,23414.3
21650,0,0,9718,-4694,2026-09-22 08:07:19,23414.3
21700,24,0,26734,-17473,2026-09-22 08:07:19,23414.3
21750,0,0,5467,-411,2026-09-22 08:07:19,23414.3
21800,1,0,34162,-13356,2026-09-22 08:07:19,23414.3
21850,0,0,7350,601,2026-09-22 08:07:19,23414.3
21900,0,0,23587,-5974,2026-09-22 08:07:19,23414.3
21950,0,0,8004,98,2026-09-22 08:07:19,23414.3
22000,298,-48,152809,-12445,2026-09-22 08:07:19,23414.3
22050,5,0,5979,-5066,2026-09-22 08:07:19,23414.3
22100,18,0,29981,-6454,2026-09-22 08:07:19,23414.3
22150,4,0,14601,-3078,2026-09-22 08:07:19,23414.3
22200,40,-1,68722,-8308,2026-09-22 08:07:19,23414.3
22250,8,0,19892,4128,2026-09-22 08:07:19,23414.3
22300,114,-15,66407,-12789,2026-09-22 08:07:19,23414.3
22350,11,0,28233,2921,2026-09-22 08:07:19,23414.3
22400,38,0,76074,10806,2026-09-22 08:07:19,23414.3
22450,7,0,42632,12636,2026-09-22 08:07:19,23414.3
22500,899,-394,191934,53126,2026-09-22 08:07:19,23414.3
22550,42,0,30314,2501,2026-09-22 08:07:19,23414.3
22600,575,-52,88578,7879,2026-09-22 08:07:19,23414.3
22650,262,1,34743,7892,2026-09-22 08:07:19,23414.3
22700,820,12,112418,15388,2026-09-22 08:07:19,23414.3
22750,506,-23,41224,-21923,2026-09-22 08:07:19,23414.3
22800,1278,-557,137166,26270,2026-09-22 08:07:19,23414.3
22850,741,-73,40773,-7998,2026-09-22 08:07:19,23414.3
22900,1928,-173,133484,56979,2026-09-22 08:07:19,23414.3
22950,1314,-32,67465,10659,2026-09-22 08:07:19,23414.3
23000,6470,-3096,189739,20598,2026-09-22 08:07:19,23414.3
23050,2291,-79,73191,29028,2026-09-22 08:07:19,23414.3
23100,7428,-1717,144841,45920,2026-09-22 08:07:19,23414.3
23150,3858,-1521,95207,35155,2026-09-22 08:07:19,23414.3
23200,31633,-9375,172908,25187,2026-09-22 08:07:19,23414.3
23250,19263,-8610,121877,22020,2026-09-22 08:07:19,23414.3
23300,59836,-54313,243496,48318,2026-09-22 08:07:19,23414.3
23350,39503,-36737,155256,76132,2026-09-22 08:07:19,23414.3
23400,132358,-2538,247382,173731,2026-09-22 08:07:19,23414.3
